what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_35",1488536176392
java.vm.info,sysinfo,,,"mixed mode, sharing",1488536176392
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1488536176392
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1488536176392
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1488536176392
java.vm.specification.version,sysinfo,,,"1.0",1488536176392
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1488536176392
java.vm.version,sysinfo,,,"20.10-b01",1488536176392
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1488536177444
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1488536177804
